DATE;HOUR;GR;PAR;T;RH;DATETIME;;;;;;
14/09/2002;23;0;0;18.8;68;14/09/2002 23:00;;;;;;
14/09/2002;24;0;0;18.6;71;15/09/2002 00:00;;;;;;
15/09/2002;1;0;0;16;75;15/09/2002 01:00;;;;;;
15/09/2002;2;0;0;17;75;15/09/2002 02:00;;;;;;
15/09/2002;3;0;0;15.9;78;15/09/2002 03:00;;;;;;
15/09/2002;4;0;0;17.5;72;15/09/2002 04:00;;;;;;
15/09/2002;5;0;0;15.4;75;15/09/2002 05:00;;;;;;
15/09/2002;6;6;38.34;16.8;73;15/09/2002 06:00;;;;;;
15/09/2002;7;40;255.6;18.6;65;15/09/2002 07:00;;;;;;
15/09/2002;8;90;575.1;18.9;61;15/09/2002 08:00;;;;;;
15/09/2002;9;178;1137.42;21.1;50;15/09/2002 09:00;;;;;;
15/09/2002;10;254;1623.06;20.1;57;15/09/2002 10:00;;;;;;
15/09/2002;11;194;1239.66;21.1;56;15/09/2002 11:00;;;;;;
15/09/2002;12;262;1674.18;21.6;51;15/09/2002 12:00;;;;;;
15/09/2002;13;304;1942.56;20.9;53;15/09/2002 13:00;;;;;;
15/09/2002;14;188;1201.32;20.8;49;15/09/2002 14:00;;;;;;
15/09/2002;15;156;996.84;19.6;56;15/09/2002 15:00;;;;;;
15/09/2002;16;42;268.38;19.7;46;15/09/2002 16:00;;;;;;
15/09/2002;17;20;127.8;18.8;59;15/09/2002 17:00;;;;;;
15/09/2002;18;0;0;17.8;68;15/09/2002 18:00;;;;;;
15/09/2002;19;0;0;17.9;70;15/09/2002 19:00;;;;;;
15/09/2002;20;0;0;17.7;69;15/09/2002 20:00;;;;;;
15/09/2002;21;0;0;17.9;63;15/09/2002 21:00;;;;;;
15/09/2002;22;0;0;17.3;62;15/09/2002 22:00;;;;;;
15/09/2002;23;0;0;17.5;61;15/09/2002 23:00;;;;;;
15/09/2002;24;0;0;17.9;63;16/09/2002 00:00;;;;;;
16/09/2002;1;0;0;17.9;59;16/09/2002 01:00;;;;;;
16/09/2002;2;0;0;17.5;63;16/09/2002 02:00;;;;;;
16/09/2002;3;0;0;17.6;64;16/09/2002 03:00;;;;;;
16/09/2002;4;0;0;15.8;83;16/09/2002 04:00;;;;;;
16/09/2002;5;0;0;16.8;74;16/09/2002 05:00;;;;;;
16/09/2002;6;8;51.12;17.6;75;16/09/2002 06:00;;;;;;
16/09/2002;7;82;523.98;19.8;61;16/09/2002 07:00;;;;;;
16/09/2002;8;142;907.38;19.5;67;16/09/2002 08:00;;;;;;
16/09/2002;9;242;1546.38;21.9;51;16/09/2002 09:00;;;;;;
16/09/2002;24;0;0;17;70;16/09/2002 10:00;;;;;;
16/09/2002;10;180;1150.2;19.3;67;16/09/2002 11:00;;;;;;
16/09/2002;11;164;1047.96;19;78;16/09/2002 12:00;;;;;;
16/09/2002;12;190;1214.1;19;73;16/09/2002 13:00;;;;;;
